date,symbol,name,strength,rs_index,rs_sector,stock_pct,hs300_pct,sector_code,sector_name,sector_pct,close,rank
2026-01-05,000933,神火股份,74,1.731,0.8975,3.6275,1.8965,801055.SI,工业金属,2.73,27.71,1
2026-01-05,600961,株冶集团,52,0.4637,-0.3698,2.3602,1.8965,801055.SI,工业金属,2.73,16.48,2
2026-01-05,600131,国网信通,42,0.0434,-1.0201,1.9399,1.8965,801103.SI,IT服务Ⅱ,2.96,16.29,3
2026-01-05,601168,西部矿业,37,-0.3357,-1.1692,1.5608,1.8965,801055.SI,工业金属,2.73,27.98,4
2026-01-05,600989,宝丰能源,12,-2.5796,-1.4931,-0.6831,1.8965,801033.SI,化学原料,0.81,18.9,5
2026-01-06,000933,神火股份,78,3.1092,-0.3646,4.6554,1.5462,801055.SI,工业金属,5.02,29.0,1
2026-01-06,600989,宝丰能源,75,2.9512,-0.6226,4.4974,1.5462,801033.SI,化学原料,5.12,19.75,2
2026-01-06,600961,株冶集团,68,2.5193,-0.9545,4.0655,1.5462,801055.SI,工业金属,5.02,17.15,3
2026-01-06,601168,西部矿业,52,1.6346,-1.8392,3.1808,1.5462,801055.SI,工业金属,5.02,28.87,4
2026-01-06,600131,国网信通,39,-0.4412,-0.815,1.105,1.5462,801103.SI,IT服务Ⅱ,1.92,16.47,5
2026-01-07,600961,株冶集团,90,2.0421,2.4993,1.7493,-0.2928,801055.SI,工业金属,-0.75,17.45,1
2026-01-07,000933,神火股份,76,1.2238,1.681,0.931,-0.2928,801055.SI,工业金属,-0.75,29.27,2
2026-01-07,600989,宝丰能源,69,1.1029,0.9601,0.8101,-0.2928,801033.SI,化学原料,-0.15,19.91,3
2026-01-07,600131,国网信通,68,0.7785,1.2757,0.4857,-0.2928,801103.SI,IT服务Ⅱ,-0.79,16.55,4
2026-01-07,601168,西部矿业,33,-1.162,-0.7048,-1.4548,-0.2928,801055.SI,工业金属,-0.75,28.45,5
2026-01-08,600131,国网信通,57,1.9043,-1.5224,1.0876,-0.8167,801103.SI,IT服务Ⅱ,2.61,16.73,1
2026-01-08,600989,宝丰能源,37,-0.6399,-0.8466,-1.4566,-0.8167,801033.SI,化学原料,-0.61,19.62,2
2026-01-08,601168,西部矿业,34,-1.1868,-0.5435,-2.0035,-0.8167,801055.SI,工业金属,-1.46,27.88,3
2026-01-08,600961,株冶集团,29,-1.4756,-0.8323,-2.2923,-0.8167,801055.SI,工业金属,-1.46,17.05,4
2026-01-08,000933,神火股份,24,-1.7457,-1.1024,-2.5624,-0.8167,801055.SI,工业金属,-1.46,28.52,5
2026-01-09,600961,株冶集团,97,3.6567,1.2656,4.1056,0.4489,801055.SI,工业金属,2.84,17.75,1
